DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	10p13	10	16955267	CUBN	CUBN			8029			rs10904849-?	rs10904849	0	10904849	intron_variant	0	0.68	7E-8	7.154901959985743		1.13	[1.08-1.19]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	16p13.2	16	9203955	C16orf72	RPL21P119 - LOC101927026	653737	101927026		47034	82384	rs79900961-?	rs79900961	0	79900961	intergenic_variant	1	0.98	5E-8	7.301029995663981		1.49	[1.26-1.76]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	16q24.1	16	86662114	FOXL1	FOXL1 - LOC101928614	2300	101928614		80416	58570	rs16941835-?	rs16941835	0	16941835	intron_variant	1	0.21	5E-8	7.301029995663981		1.16	[1.09-1.22]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	1q41	1	221887680	DUSP10	LOC105372950			105372950			rs11118883-A	rs11118883	0	11118883	intron_variant	0	0.35	5E-6	5.301029995663981		1.12	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	8q24.11	8	116836068	EIF3H	UTP23 - RAD21	84294	5885		61384	9866	rs76316943-A	rs76316943	0	76316943	intron_variant	1	0.01	2E-11	10.698970004336019		1.58	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	8q24.21	8	127412547	MYC	CASC8			727677			rs7014346-A	rs7014346	0	7014346	intron_variant	0	0.34	6E-15	14.221848749616356		1.19	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	10p14	10	8697617	GATA3	LOC105376400 - LOC105755953	105376400	105755953		27815	200372	rs11255841-T	rs11255841	0	11255841	intergenic_variant	1	0.68	4E-13	12.397940008672037		1.18	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	10q24.2	10	99591947	SLC25A28, NKX2-3	NKX2-3 - SLC25A28	159296	81894		55423	18571	rs11190164-G	rs11190164	0	11190164	intergenic_variant	1	0.29	8E-7	6.096910013008056		1.13	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	11q13.4	11	74634505	POLD3	POLD3			10714			rs3824999-C	rs3824999	0	3824999	intron_variant	0	0.47	8E-11	10.096910013008056		1.15	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	11q23.1	11	111300984	FLJ45803	COLCA1, COLCA2			399948, 120376			rs3802842-C	rs3802842	0	3802842	intron_variant	0	0.27	2E-6	5.698970004336019		1.13	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	12q13.12	12	50651666	DIP2B, ATF1	DIP2B			57609			rs4768903-A	rs4768903	0	4768903	intron_variant	0	0.61	4E-8	7.3979400086720375		1.1	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	14q22.2	14	53952388	BMP4	BMP4			652			rs35107139-C	rs35107139	0	35107139	intron_variant	0	0.4	2E-6	5.698970004336019		1.1	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-12-06	27207650	Schmit SL	2016-04-18	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/27207650	Genome-wide association study of colorectal cancer in Hispanics.	Colorectal cancer	1,611 Hispanic cases, 4,330 Hispanic controls	NA	1p34.3	1	39344315	MACF1	MACF1			23499			rs7528276-T	rs7528276	0	7528276	intron_variant	0	0.03	3E-7	6.522878745280337		1.86	[1.47-2.36]	Illumina [9875636] (imputed)	N
2016-12-06	27207650	Schmit SL	2016-04-18	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/27207650	Genome-wide association study of colorectal cancer in Hispanics.	Colorectal cancer	1,611 Hispanic cases, 4,330 Hispanic controls	NA	2q23.3	2	153074663	NR	LOC105373691 - ATP5F1P4	105373691	100422514		46377	84275	rs1367374-C	rs1367374	0	1367374	intergenic_variant	1	0.13	4E-7	6.3979400086720375		1.37	[1.21-1.55]	Illumina [9875636] (imputed)	N
2016-12-06	27207650	Schmit SL	2016-04-18	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/27207650	Genome-wide association study of colorectal cancer in Hispanics.	Colorectal cancer	1,611 Hispanic cases, 4,330 Hispanic controls	NA	14q24.2	14	70937530	NR	PCNX, LOC105370557			22990, 105370557			rs143046984-TA	rs143046984	0	143046984	intron_variant	0	0.04	4E-7	6.3979400086720375		1.65	[1.36-2.01]	Illumina [9875636] (imputed)	N
2016-12-06	27207650	Schmit SL	2016-04-18	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/27207650	Genome-wide association study of colorectal cancer in Hispanics.	Colorectal cancer	1,611 Hispanic cases, 4,330 Hispanic controls	NA	16q12.2	16	55504828	NR	MMP2			4313			rs142319636-G	rs142319636	0	142319636	intron_variant	0	0.04	8E-7	6.096910013008056		1.69	[1.37-2.08]	Illumina [9875636] (imputed)	N
2016-12-06	27207650	Schmit SL	2016-04-18	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/27207650	Genome-wide association study of colorectal cancer in Hispanics.	Colorectal cancer	1,611 Hispanic cases, 4,330 Hispanic controls	NA	1p34.3	1	39458103	NR	MACF1			23499			rs658191-G	rs658191	0	658191	non_coding_transcript_exon_variant	0	0.03	4E-7	6.3979400086720375		1.86	[1.46-2.36]	Illumina [9875636] (imputed)	N
2016-12-06	27207650	Schmit SL	2016-04-18	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/27207650	Genome-wide association study of colorectal cancer in Hispanics.	Colorectal cancer	1,611 Hispanic cases, 4,330 Hispanic controls	NA	14q24.2	14	71047446	NR	PCNX			22990			rs2286313-G	rs2286313	0	2286313	intron_variant	0	0.04	4E-7	6.3979400086720375		1.66	[1.36-2.02]	Illumina [9875636] (imputed)	N
2016-12-06	27207650	Schmit SL	2016-04-18	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/27207650	Genome-wide association study of colorectal cancer in Hispanics.	Colorectal cancer	1,611 Hispanic cases, 4,330 Hispanic controls	NA	18q21.1	18	48926786	NR	SMAD7			4092			rs11874392-A	rs11874392	0	11874392	intron_variant	0	0.49	7E-8	7.154901959985743		1.27	[1.17-1.39]	Illumina [9875636] (imputed)	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	2q37.2	2	234706553	ARL4C	LINC01173			106144537			rs6736997-A	rs6736997	0	6736997	intron_variant	0	0.33	6E-6	5.221848749616356	(recessive)	1.57	[1.29-1.91]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	7q36.2	7	153928758	DPP6	DPP6			1804			rs6464375-A	rs6464375	0	6464375	intron_variant	0	0.10	4E-7	6.3979400086720375	(recessive)	3.73	[2.24-6.21]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	8q24.13	8	123753462	FAM91A1	LOC105375739			105375739			rs10088262-A	rs10088262	0	10088262	intergenic_variant	0	0.34	4E-6	5.3979400086720375	(dominant)	1.4	[1.21-1.61]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	6p25.3	6	1339954	FOXQ1	LINC01394 - LOC105374880	106144586	105374880		3590	43838	rs9502893-G	rs9502893	0	9502893	intergenic_variant	1	0.35	3E-7	6.522878745280337	(allelic)	1.29	[1.17-1.43]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	2q12.1	2	104762499	LOC284998	LINC01114 - HMGB3P11	284998	644442		4780	8692	rs12615966-A	rs12615966	0	12615966	upstream_gene_variant	1	0.10	7E-6	5.154901959985743	(recessive)	3.15	[1.91-5.21]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	13q21.32	13	65907683	LOC387933	LOC105370243			105370243			rs1585440-C	rs1585440	0	1585440	regulatory_region_variant	0	0.71	9E-6	5.045757490560675	(allelic)	1.3	[1.16-1.45]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	13q22.1	13	73357977	LOC730242	RNY1P8 - MARK2P12	100873807	100421565		130717	49812	rs1886449-A	rs1886449	0	1886449	intergenic_variant	1	0.38	9E-6	5.045757490560675	(recessive)	1.51	[1.26-1.80]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	5p15.33	5	2109787	LOC731559	LOC105374618			105374618			rs6879627-G	rs6879627	0	6879627	intergenic_variant	0	0.52	8E-6	5.096910013008056	(allelic)	1.25	[1.14-1.39]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	17q11.2	17	32550640	MYO1D	MYO1D			4642			rs225190-G	rs225190	0	225190	intron_variant	0	0.36	6E-6	5.221848749616356	(allelic)	1.26	[1.14-1.39]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	13q31.1	13	79725587	NDFIP2	LINC01068 - LINC01038	103724388	102724076		154141	78799	rs2039553-A	rs2039553	0	2039553	intergenic_variant	1	0.27	7E-6	5.154901959985743	(recessive)	1.73	[1.36-2.19]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	6q26	6	161815043	PARK2	PARK2			5071			rs3016539-A	rs3016539	0	3016539	intron_variant	0	0.87	7E-6	5.154901959985743	(dominant)	1.5	[1.26-1.79]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	17p11.2	17	18850557	PRPSAP2	LOC101929141 - PRPSAP2	101929141	5636		8189	5742	rs4924935-G	rs4924935	0	4924935	intron_variant	1	0.23	8E-6	5.096910013008056	(dominant)	1.37	[1.19-1.58]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	2q11.2	2	101305708	RNF149	RNF149			284996			rs6711606-A	rs6711606	0	6711606	intron_variant	0	0.12	4E-6	5.3979400086720375	(recessive)	2.81	[1.81-4.37]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	17q22	17	58370936	RNF43	RNF43			54894			rs2257205-A	rs2257205	0	2257205	missense_variant	0	0.33	8E-6	5.096910013008056	(dominant)	1.38	[1.20-1.59]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	8p11.22	8	38611785	RNF5P1	RNF5P1 - TACC1	286140	6867		10528	116401	rs7832232-A	rs7832232	0	7832232	intergenic_variant	1	0.45	5E-6	5.301029995663981	(recessive)	1.45	[1.24-1.71]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	2q22.1	2	136797654	THSD7B	THSD7B			80731			rs1427593-A	rs1427593	0	1427593	intron_variant	0	0.08	7E-6	5.154901959985743	(dominant)	1.49	[1.25-1.77]	Illumina [420236]	N
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	12p11.21	12	32283475	BICD1	BICD1			636			rs708224-A	rs708224	0	708224	intron_variant	0	0.66	3E-7	6.522878745280337	(allelic)	1.32	[1.19-1.47]	Illumina [420236]	N
2010-09-23	20729852	Abnet CC	2010-08-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20729852	A shared susceptibility locus in PLCE1 at 10q23 for gastric adenocarcinoma and esophageal squamous cell carcinoma.	Esophageal cancer and gastric cancer	1,625 Chinese ancestry gastric cancer cases, 1,898 Chinese ancestry ESCC cases, 2,100 Chinese ancestry controls	NA	10q23.33	10	94298541	PLCE1, NOC3L	PLCE1			51196			rs3765524-T	rs3765524	0	3765524	missense_variant	0	0.207	2E-9	8.698970004336019	(ESCC)	1.35	[1.22-1.49]	Illumina [551152]	N
2010-09-23	20729852	Abnet CC	2010-08-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20729852	A shared susceptibility locus in PLCE1 at 10q23 for gastric adenocarcinoma and esophageal squamous cell carcinoma.	Esophageal cancer and gastric cancer	1,625 Chinese ancestry gastric cancer cases, 1,898 Chinese ancestry ESCC cases, 2,100 Chinese ancestry controls	NA	22q12.1	22	28734024	HSCB, CHEK2	CHEK2			11200			rs738722-T	rs738722	0	738722	intron_variant	0	0.25	1E-8	8.0	(ESCC)	1.3	[1.19-1.43]	Illumina [551152]	N
2014-11-08	24700089	Miura K	2014-04-04	J Med Virol	www.ncbi.nlm.nih.gov/pubmed/24700089	Genome-wide association study of HPV-associated cervical cancer in Japanese women.	Cervical cancer	226 Japanese ancestry cases, 186 Japanese ancestry controls	NA	2q36.3	2	227644742	intergenic	C2orf83 - LOC100420667	56918	100420667		11422	3100	rs997363-C	rs997363	0	997363	intron_variant	1	0.4032	1E-6	6.0		1.986	[1.50-2.62]	Affymetrix [556045]	N
2014-11-08	24700089	Miura K	2014-04-04	J Med Virol	www.ncbi.nlm.nih.gov/pubmed/24700089	Genome-wide association study of HPV-associated cervical cancer in Japanese women.	Cervical cancer	226 Japanese ancestry cases, 186 Japanese ancestry controls	NA	7q11.23	7	77433395	intergenic	LOC101927243 - GCNT1P5	101927243	100421598		7951	27761	rs7780883-A	rs7780883	0	7780883	intergenic_variant	1	0.05376	2E-6	5.698970004336019		3.28	[1.956-5.50]	Affymetrix [556045]	N
2014-11-08	24700089	Miura K	2014-04-04	J Med Virol	www.ncbi.nlm.nih.gov/pubmed/24700089	Genome-wide association study of HPV-associated cervical cancer in Japanese women.	Cervical cancer	226 Japanese ancestry cases, 186 Japanese ancestry controls	NA	2q14.2	2	118131653	intergenic	INSIG2 - LOC100506797	51141	100506797		21622	51274	rs6726538-A	rs6726538	0	6726538	downstream_gene_variant	1	0.3871	3E-6	5.522878745280337		1.946	[1.471-2.573]	Affymetrix [556045]	N
2014-11-08	24700089	Miura K	2014-04-04	J Med Virol	www.ncbi.nlm.nih.gov/pubmed/24700089	Genome-wide association study of HPV-associated cervical cancer in Japanese women.	Cervical cancer	226 Japanese ancestry cases, 186 Japanese ancestry controls	NA	18q22.3	18	72259522	intergenic	LOC105372189 - CBLN2	105372189	147381		86657	274198	rs8088832-C	rs8088832	0	8088832	intergenic_variant	1	0.508	4E-6	5.3979400086720375		1.94	[1.46-2.57]	Affymetrix [556045]	N
2014-11-08	24700089	Miura K	2014-04-04	J Med Virol	www.ncbi.nlm.nih.gov/pubmed/24700089	Genome-wide association study of HPV-associated cervical cancer in Japanese women.	Cervical cancer	226 Japanese ancestry cases, 186 Japanese ancestry controls	NA	1q23.3	1	160773959	intergenic	LOC105371470			105371470			rs12068654-T	rs12068654	0	12068654	downstream_gene_variant	0	0.885	5E-6	5.301029995663981		3.23	[2.06-6.93]	Affymetrix [556045]	N
